,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
977,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,13.0
978,Mercedes-Benz S-Class 280 AT,Kochi,2004,119859,Petrol,Automatic,First,13.0 kmpl,2987 CC,210 bhp,5.0,7.1
979,Ford Figo Petrol EXI,Bangalore,2010,78400,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,2.75
980,Tata Indigo CS eVX,Pune,2016,52000,Diesel,Manual,Second,25.0 kmpl,1396 CC,69.01 bhp,5.0,2.4
981,Hyundai Grand i10 Asta Option,Bangalore,2014,30000,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,4.9
982,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4.0,1.2
983,Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,2.6
984,Maruti Wagon R VXI BS IV,Kochi,2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,3.08
985,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,30.5
986,Tata Manza Aura Safire BS IV,Pune,2010,75695,Petrol,Manual,First,13.7 kmpl,1368 CC,88.8 bhp,5.0,1.85
987,Fiat Avventura MULTIJET Emotion,Hyderabad,2015,57266,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5.0,6.5
988,Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,14.49 kmpl,1399 CC,92.7 bhp,5.0,2.1
989,Mahindra Scorpio VLX 4WD,Bangalore,2007,81000,Diesel,Manual,Third,12.05 kmpl,2179 CC,120 bhp,8.0,4.35
990,Renault KWID RXT,Mumbai,2016,24000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,3.1
991,Jaguar XF 3.0 Litre S Premium Luxury,Coimbatore,2012,75668,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,16.58
992,BMW 3 Series 320d,Hyderabad,2010,73336,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5.0,10.69
993,Maruti Alto LXi BSIII,Chennai,2008,68000,Petrol,Manual,Third,19.7 kmpl,796 CC,46.3 bhp,5.0,1.2
994,BMW 7 Series 2007-2012 730Ld,Hyderabad,2009,53000,Diesel,Automatic,First,14.49 kmpl,2993 CC,258 bhp,5.0,36.0
995,Maruti Celerio VXI AT,Bangalore,2014,49800,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,4.0
996,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2015,16329,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,30.3
997,Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,5.0,7.5
998,Hyundai i20 1.4 CRDi Sportz,Pune,2012,90000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,4.11
999,Nissan Micra XV CVT,Coimbatore,2014,47303,Petrol,Automatic,First,19.34 kmpl,1198 CC,76 bhp,5.0,5.21
1000,Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,72000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5.0,3.2
1001,Hyundai i10 Sportz,Delhi,2013,62334,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2.75
1002,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,4.5
1003,Hyundai i10 Sportz,Kochi,2012,42591,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,3.2
1004,BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,22.0
1005,Maruti Swift Dzire VDI Optional,Kolkata,2015,36000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,4.7
1006,Ford Figo Petrol ZXI,Mumbai,2012,23152,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5.0,2.39
1007,Maruti Omni MPI STD BSIV,Coimbatore,2017,15473,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,5.0,3.58
1008,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.0
1009,Audi A8 L 3.0 TDI quattro,Bangalore,2009,55000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5.0,13.5
1010,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,1.45
1011,Maruti A-Star Lxi,Delhi,2010,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,2.0
1012,BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48 kmpl,1995 CC,187.74 bhp,5.0,45.86
1013,Toyota Corolla Altis VL AT,Mumbai,2015,68000,Petrol,Automatic,Second,14.28 kmpl,1798 CC,138.03 bhp,5.0,9.75
1014,Maruti Esteem Vxi - BSIII,Chennai,2007,30441,Petrol,Manual,First,15.9 kmpl,1298 CC,85 bhp,5.0,1.45
1015,Honda Brio S MT,Delhi,2015,44328,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,3.8
1016,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,70.36
1017,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,3.3
1018,Mahindra XUV500 W8 2WD,Coimbatore,2014,86091,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,10.09
1019,Honda Brio V MT,Mumbai,2012,54000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,2.95
1020,Tata Indica V2 DLS,Chennai,2008,77650,Diesel,Manual,First,17.2 kmpl,1396 CC,53.5 bhp,5.0,1.15
1021,Tata Nano XT,Coimbatore,2017,14149,Petrol,Manual,First,23.9 kmpl,624 CC,37.48 bhp,4.0,3.47
1022,BMW X5 3.0d,Bangalore,2009,90000,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5.0,17.75
1023,Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,7.5
1024,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,11.99
1025,Maruti Celerio VXI AT,Hyderabad,2014,44600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,4.55
1026,Toyota Etios Liva Diesel,Hyderabad,2014,59589,Diesel,Manual,First,23.59 kmpl,1364 CC,67.1 bhp,5.0,5.6
1027,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,8.25
1028,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,27.3
1029,Maruti Omni 8 Seater BSII,Pune,2010,60000,Petrol,Manual,First,19.7 kmpl,796 CC,35 bhp,8.0,1.45
1030,Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,1.25
1031,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51 kmpl,998 CC,67.04 bhp,5.0,2.85
1032,BMW 3 Series 320d Sedan,Hyderabad,2007,74199,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5.0,9.25
1033,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,4.5
1034,Ford Fiesta 1.6 ZXi ABS,Hyderabad,2007,145277,Petrol,Manual,First,15.3 kmpl,1596 CC,101 bhp,5.0,1.65
1035,Tata Manza Aqua Safire,Mumbai,2010,41195,Petrol,Manual,First,15.0 kmpl,1368 CC,90 bhp,5.0,1.38
1036,Volkswagen Jetta 2007-2011 2.0 TDI Trendline,Ahmedabad,2013,68008,Diesel,Manual,Second,15.0 kmpl,1896 CC,105 bhp,5.0,6.75
1037,Maruti Ciaz VXi Plus,Mumbai,2015,51579,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,5.95
1038,Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,10.88
1039,Honda City 1.5 V AT,Delhi,2011,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,4.45
1040,Mercedes-Benz GLE 350d,Chennai,2016,29000,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,65.0
1041,Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,3.95
1042,Ford Figo Diesel EXI,Hyderabad,2010,108882,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,2.4
1043,Maruti Celerio ZDi,Kolkata,2015,33517,Diesel,Manual,First,27.62 kmpl,793 CC,47 bhp,5.0,3.1
1044,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,2.85
1045,Hyundai i10 Sportz,Kolkata,2013,25000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2.65
1046,BMW 7 Series 2007-2012 750Li,Kochi,2010,50161,Petrol,Automatic,First,8.77 kmpl,4395 CC,402 bhp,5.0,25.93
1047,Toyota Innova Crysta 2.4 ZX MT,Ahmedabad,2016,54000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,16.5
1048,Mercedes-Benz E-Class E270 CDI,Hyderabad,2005,102000,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,5.0,4.65
1049,Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5.0,14.01
1050,Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,3.34
1051,Mahindra Scorpio VLX AT AIRBAG BSIV,Mumbai,2011,50000,Diesel,Automatic,First,11.79 kmpl,2179 CC,120 bhp,8.0,6.0
1052,Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5.0,3.5
1053,Hyundai Santro Xing GLS,Hyderabad,2009,80227,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,2.3
1054,Fiat Avventura MULTIJET Emotion,Mumbai,2015,32000,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5.0,5.65
1055,Toyota Fortuner 3.0 Diesel,Pune,2009,138205,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,10.5
1056,Toyota Etios VXD,Pune,2012,111000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.1 bhp,5.0,4.75
1057,Maruti Swift Dzire 1.2 Lxi BSIV,Jaipur,2012,75451,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,5.0,3.78
1058,Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,5.75
1059,BMW X3 xDrive 20d xLine,Kochi,2017,36723,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,5.0,32.57
1060,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,5.49
1061,Hyundai i20 Magna Optional 1.4 CRDi,Ahmedabad,2012,55362,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5.0,4.25
1062,Mahindra XUV500 W8 2WD,Bangalore,2014,55000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9.8
1063,Maruti Ertiga VXI,Ahmedabad,2012,25000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,5.35
1064,Mahindra XUV500 W8 2WD,Mumbai,2016,120000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,12.0
1065,Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0 kmpl,1086 CC,null bhp,5.0,1.35
1066,Mercedes-Benz M-Class ML 350 4Matic,Coimbatore,2016,27833,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,49.24
1067,Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,2015,45000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,8.9
1068,Mahindra XUV500 W8 2WD,Kochi,2013,61672,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,7.53
1069,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06 kmpl,1968 CC,141 bhp,5.0,24.9
1070,Skoda Laura Elegance 2.0 TDI CR AT,Coimbatore,2013,72202,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5.0,9.06
1071,Maruti S-Cross Alpha DDiS 200 SH,Kolkata,2016,45296,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5.0,6.99
1072,Maruti Swift ZXI Plus,Ahmedabad,2018,2000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,7.75
1073,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,1.85
1074,Ford Endeavour 3.2 Trend AT 4X4,Chennai,2016,43000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,26.5
1075,Volkswagen CrossPolo 1.5 TDI,Hyderabad,2015,80768,Diesel,Manual,First,20.14 kmpl,1498 CC,88.73 bhp,5.0,5.7
1076,Honda CR-V 2.0 AT,Kochi,2017,41697,Petrol,Automatic,First,13.1 kmpl,1997 CC,141.1 bhp,5.0,16.68
1077,Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,2.1
1078,Hyundai Xcent 1.2 Kappa S Option,Coimbatore,2016,21495,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5.0,6.16
1079,Maruti Alto 800 VXI,Pune,2014,32000,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,5.0,2.1
1080,Hyundai Verna 1.6 CRDI AT SX Option,Chennai,2016,27000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.2 bhp,5.0,8.6
1081,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5.0,44.56
1082,Toyota Etios Liva GD SP,Hyderabad,2015,69189,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5.0,5.3
1083,Toyota Etios Liva G,Kolkata,2011,42118,Petrol,Manual,First,18.3 kmpl,1197 CC,null bhp,5.0,2.19
1084,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.76
1085,Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,56251,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,35.82
1086,Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,2.5
1087,Honda CR-V 2.4 4WD AT,Jaipur,2006,80000,Petrol,Automatic,Third,10.1 kmpl,2354 CC,152 bhp,5.0,2.0
1088,Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,4.75
1089,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,4.99
1090,Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5.0,19.25
1091,Hyundai Grand i10 Asta Option,Coimbatore,2016,44178,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5.88
1092,Hyundai Getz GVS,Mumbai,2005,90000,Petrol,Manual,Second,15.3 kmpl,1341 CC,61 bhp,5.0,1.8
1093,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,3.25
1094,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.51
1095,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,28.9
1096,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,39.58
1097,Toyota Etios GD,Chennai,2011,79000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,4.67
1098,Volkswagen Polo Petrol Comfortline 1.2L,Bangalore,2015,34010,Petrol,Manual,Third,16.47 kmpl,1198 CC,73.9 bhp,5.0,4.95
1099,Maruti Alto 800 LXI Airbag,Jaipur,2015,50000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,2.75
1100,Honda City i VTEC CVT VX,Delhi,2015,51000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,7.9
1101,Chevrolet Optra Magnum 2.0 LT,Chennai,2011,55000,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,3.95
1102,Volkswagen Polo Petrol Highline 1.6L,Kolkata,2011,46000,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,2.35
1103,Maruti Swift Vdi BSIII,Chennai,2008,107000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5.0,3.1
1104,Honda Accord 2001-2003 2.3 VTi L AT,Bangalore,2010,84000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,5.0,6.5
1105,BMW X5 xDrive 30d,Chennai,2011,58000,Diesel,Automatic,Second,11.7 kmpl,2993 CC,245 bhp,5.0,27.0
1106,Chevrolet Beat Diesel LT,Chennai,2011,109500,Diesel,Manual,Third,25.44 kmpl,936 CC,57.6 bhp,5.0,1.5
1107,Maruti Alto K10 LXI Optional,Pune,2016,7000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,3.0
1108,Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,7.6
1109,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5.0,1.99
1110,Hyundai Creta 1.6 CRDi SX Option,Jaipur,2015,78046,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,10.9
1111,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,4.8
1112,Honda Amaze VX i-Vtech,Chennai,2014,48000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4.75
1113,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,7.27
1114,Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,19.0
1115,Tata Nano XT,Pune,2011,50000,Petrol,Manual,Second,23.9 kmpl,624 CC,37.48 bhp,4.0,0.75
1116,Mitsubishi Pajero 2.8 GLX Sports,Hyderabad,2008,85000,Diesel,Manual,First,9.5 kmpl,2835 CC,118.6 bhp,6.0,7.99
1117,Maruti Swift Dzire VDI,Kolkata,2014,57000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,3.89
1118,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,22060,Diesel,Automatic,First,18.51 kmpl,1968 CC,147.51 bhp,5.0,32.73
1119,Hyundai i20 Asta Option 1.4 CRDi,Coimbatore,2017,24153,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,9.18
1120,Hyundai Santro Xing GL,Delhi,2012,61449,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,2.15
1121,Maruti Baleno Delta Automatic,Kochi,2018,21684,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,7.89
1122,Hyundai Verna 1.6 SX CRDi (O),Ahmedabad,2012,52000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,6.5
1123,Toyota Corolla Altis Diesel D4DJ,Delhi,2011,89401,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,4.5
1124,Toyota Etios G,Kochi,2013,56344,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,4.57
1125,Hyundai EON Era Plus,Kochi,2018,13102,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,4.06
1126,Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Petrol,Manual,Second,17.57 kmpl,1193 CC,88.7 bhp,5.0,4.5
1127,Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,2013,38000,Petrol,Automatic,First,16.5 kmpl,1499 CC,110 bhp,5.0,6.25
1128,Mahindra XUV500 W10 AWD,Hyderabad,2015,102626,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,12.25
1129,BMW X5 X5 M,Pune,2015,69002,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5.0,50.0
1130,Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,4.95
1131,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,2.35
1132,Hyundai Grand i10 Sportz,Pune,2016,13436,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,4.7
1133,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,64.87
1134,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,15.54
1135,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,5.81
1136,Maruti Swift Dzire LXI,Kochi,2013,59350,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,4.16
1137,Volkswagen Polo Petrol Comfortline 1.2L,Delhi,2013,75000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,3.25
1138,Mahindra XUV500 W10 2WD,Jaipur,2017,40000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,15.9
1139,Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,35437,Diesel,Automatic,First,20.0 kmpl,2143 CC,136 bhp,5.0,18.58
1140,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,13.49
1141,Maruti Swift VDI,Pune,2012,94868,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,4.5
1142,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,5.75
1143,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,2015,480000,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.03 bhp,5.0,13.0
1144,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,5.71
1145,Hyundai Xcent 1.1 CRDi S,Kochi,2017,32257,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,6.83
1146,Hyundai Creta 1.6 CRDi SX,Jaipur,2015,83950,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,9.95
1147,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Diesel,Automatic,Second,12.9 kmpl,2755 CC,174.5 bhp,7.0,22.5
1148,Volkswagen Vento 1.5 TDI Highline,Jaipur,2015,58000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,5.85
1149,Maruti Ertiga ZDI,Hyderabad,2013,120000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,7.0
1150,Honda City i VTEC SV,Kolkata,2015,480000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,5.0
1151,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5.0,5.88
1152,Hyundai Xcent 1.2 Kappa S,Chennai,2014,51000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,3.85
1153,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Mumbai,2008,70700,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,4.75
1154,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5.0,25.99
1155,Honda City i VTEC V,Mumbai,2015,28005,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,7.1
1156,Tata Indica Vista Quadrajet LS,Pune,2014,180000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5.0,2.5
1157,Mahindra XUV500 W8 2WD,Kochi,2015,59182,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9.46
1158,Toyota Corolla Altis G,Hyderabad,2008,44738,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,5.1
1159,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5.0,27.0
1160,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,37.3
1161,Skoda Superb Ambition 2.0 TDI CR AT,Delhi,2012,56400,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,8.0
1162,Volkswagen Vento Petrol Highline AT,Pune,2011,42000,Petrol,Automatic,Third,14.4 kmpl,1598 CC,103.6 bhp,5.0,3.4
1163,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7.0,72.94
1164,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,7.75
